Collated Components:,,,,,,
,,,,,,
Qty,Part name,Part type,Reference(s),Value,LibPart,Footprint
1,~,,C1,10nF,Device:C_Small,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm
3,~,,"C2, C3, C4",100nF,Device:C_Small,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm
3,~,,"C5, C6, C7",10uF,Device:C_Small,Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm
2,LTL-4233,LED,"D1, D2",LED,Device:LED,LED_THT:LED_D3.0mm
1,???,Terminal Block,J1,Battery,Connector:Conn_01x02_Female,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal"
3,2N3094,BJT,"Q1, Q2, Q3",2N3904,Transistor_BJT:2N3904,Package_TO_SOT_THT:TO-92_Inline
7,~,,"R1, R2, R3, R4, R5, R6, R12",10k,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
1,~,,R7,4.2k,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
1,~,,R8,70,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
1,~,,R9,70k,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
33,~,,"R10, R11, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43",1k,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
3,B3F-1000,B3F-1000,"SW1, SW2, SW3",SW_Push,Switch:SW_Push,Button_Switch_THT:SW_PUSH_6mm
4,SN74LS47N,BCD to 7 segment decoder,"U1, U6, U8, U12",74LS47,74xx:74LS47,Package_DIP:DIP-16_W7.62mm
1,NE555P,555 Timer,U2,NE555P,Timer:NE555P,Package_DIP:DIP-8_W7.62mm
4,LSHD-5601,7 segment display,"U3, U7, U10, U14",HDSP-7801,Display_Character:HDSP-7801,Display_7Segment:7SegmentLED_LTS6760_LTS6780
16,SN74HC08N,AND gate,"U4, U16, U20, U21, U25, U28, U29, U32, U33, U37, U42, U43, U47, U48, U51, U53",74LS08,74xx:74LS08,Package_DIP:DIP-14_W7.62mm
4,SN74HC32N,OR gate,"U5, U49, U50, U52",74LS32,74xx:74LS32,Package_DIP:DIP-14_W7.62mm
16,SN74HC74N,Flip Flop,"U9, U13, U17, U22, U23, U24, U26, U27, U31, U34, U35, U38, U40, U41, U45, U46",74LS74,74xx:74LS74,Package_DIP:DIP-14_W7.62mm
1,LM1117T-5.0/NOPB,Linear regulator (5V),U11,LM1117-5.0,Regulator_Linear:LM1117-5.0,Package_TO_SOT_THT:TO-220-3_Vertical
2,SN74LS14N,Inverter (schmitt triggered),"U15, U54",74LS04,74xx:74LS04,Package_DIP:DIP-14_W7.62mm
6,SN74HC86N,XOR gate,"U18, U19, U30, U36, U39, U44",74LS86,74xx:74LS86,Package_DIP:DIP-14_W7.62mm
